012   KMQ   ['A', 'U', 'C', 'D', 'N', 'F', 'G', 'H', 'J', 'I', 'Z', 'S', 'M', 'E', 'X', 'P', 'Q', 'R', 'L', 'T', 'B', 'V', 'W', 'O', 'Y', 'K']   6
012   OWF   ['A', 'B', 'C', 'D', 'E', 'F', 'N', 'W', 'I', 'J', 'T', 'L', 'R', 'G', 'X', 'P', 'Y', 'M', 'S', 'K', 'U', 'V', 'H', 'O', 'Q', 'Z']   6
012   OWF   ['A', 'B', 'D', 'C', 'E', 'F', 'N', 'W', 'I', 'J', 'K', 'L', 'R', 'G', 'X', 'P', 'Y', 'M', 'S', 'T', 'U', 'V', 'H', 'O', 'Q', 'Z']   6
012   PPX   ['A', 'U', 'C', 'D', 'E', 'F', 'V', 'H', 'L', 'J', 'X', 'I', 'W', 'Q', 'O', 'P', 'N', 'R', 'S', 'T', 'B', 'G', 'M', 'K', 'Y', 'Z']   6
012   RJW   ['C', 'B', 'A', 'Z', 'E', 'M', 'G', 'H', 'I', 'J', 'K', 'L', 'F', 'N', 'O', 'Y', 'Q', 'U', 'T', 'S', 'R', 'V', 'W', 'X', 'P', 'D']   6
012   RJW   ['T', 'B', 'S', 'Z', 'E', 'M', 'G', 'H', 'I', 'J', 'K', 'L', 'F', 'N', 'O', 'Y', 'Q', 'U', 'C', 'A', 'R', 'V', 'W', 'X', 'P', 'D']   6
012   YVV   ['A', 'B', 'C', 'D', 'R', 'M', 'G', 'H', 'I', 'J', 'Z', 'N', 'F', 'L', 'O', 'P', 'Y', 'E', 'S', 'V', 'U', 'T', 'W', 'X', 'Q', 'K']   6
013   LPZ   ['A', 'B', 'C', 'D', 'P', 'M', 'Y', 'H', 'W', 'J', 'X', 'L', 'F', 'N', 'T', 'E', 'Q', 'R', 'S', 'O', 'U', 'V', 'I', 'K', 'G', 'Z']   6
013   LPZ   ['A', 'B', 'C', 'D', 'E', 'M', 'Y', 'H', 'W', 'J', 'X', 'L', 'F', 'N', 'T', 'P', 'Q', 'R', 'Z', 'O', 'U', 'V', 'I', 'K', 'G', 'S']   6
013   PVS   ['A', 'B', 'C', 'D', 'S', 'F', 'G', 'H', 'M', 'X', 'P', 'L', 'I', 'Q', 'O', 'K', 'N', 'U', 'E', 'T', 'R', 'V', 'W', 'J', 'Y', 'Z']   6
013   PVS   ['A', 'B', 'C', 'D', 'V', 'F', 'G', 'H', 'M', 'X', 'Z', 'L', 'I', 'Q', 'O', 'P', 'N', 'U', 'S', 'T', 'R', 'E', 'W', 'J', 'Y', 'K']   6
013   QSG   ['A', 'H', 'C', 'D', 'L', 'R', 'J', 'B', 'Q', 'G', 'K', 'E', 'M', 'N', 'O', 'P', 'I', 'F', 'S', 'U', 'T', 'V', 'W', 'X', 'Y', 'Z']   6
013   QSG   ['A', 'H', 'C', 'D', 'L', 'F', 'J', 'B', 'Q', 'G', 'K', 'E', 'W', 'N', 'O', 'P', 'I', 'R', 'S', 'U', 'T', 'V', 'M', 'X', 'Y', 'Z']   6
013   STO   ['A', 'Q', 'C', 'Z', 'E', 'F', 'P', 'S', 'T', 'J', 'K', 'L', 'M', 'N', 'O', 'G', 'B', 'R', 'H', 'I', 'U', 'V', 'X', 'W', 'Y', 'D']   6
021   IXT   ['H', 'T', 'X', 'D', 'E', 'F', 'G', 'A', 'I', 'M', 'K', 'L', 'J', 'N', 'O', 'V', 'W', 'R', 'S', 'B', 'U', 'P', 'Q', 'C', 'Y', 'Z']   6
021   WEB   ['G', 'B', 'C', 'U', 'E', 'Z', 'A', 'H', 'I', 'J', 'K', 'S', 'M', 'X', 'O', 'R', 'Q', 'P', 'L', 'T', 'D', 'V', 'W', 'N', 'Y', 'F']   6
023   HSD   ['A', 'I', 'C', 'D', 'W', 'F', 'G', 'H', 'B', 'J', 'K', 'L', 'M', 'Q', 'O', 'P', 'N', 'X', 'S', 'Y', 'Z', 'V', 'E', 'R', 'T', 'U']   6
023   ORC   ['A', 'G', 'C', 'T', 'S', 'I', 'B', 'H', 'F', 'J', 'K', 'N', 'M', 'L', 'P', 'O', 'Q', 'R', 'E', 'D', 'U', 'V', 'W', 'X', 'Y', 'Z']   6
023   POW   ['A', 'Q', 'C', 'U', 'E', 'F', 'G', 'H', 'Y', 'R', 'K', 'V', 'M', 'N', 'T', 'P', 'B', 'J', 'S', 'O', 'D', 'L', 'W', 'X', 'I', 'Z']   6
024   QTT   ['A', 'B', 'L', 'H', 'X', 'F', 'N', 'D', 'R', 'P', 'K', 'C', 'M', 'G', 'O', 'J', 'Q', 'I', 'S', 'T', 'U', 'V', 'W', 'E', 'Y', 'Z']   6
024   RMF   ['A', 'E', 'C', 'P', 'B', 'F', 'G', 'J', 'W', 'H', 'K', 'L', 'M', 'X', 'O', 'D', 'Z', 'R', 'S', 'T', 'U', 'V', 'I', 'N', 'Y', 'Q']   6
024   SUA   ['A', 'B', 'N', 'D', 'E', 'F', 'H', 'G', 'I', 'J', 'U', 'Y', 'M', 'C', 'O', 'P', 'S', 'R', 'Q', 'Z', 'K', 'V', 'W', 'X', 'L', 'T']   6
024   TJO   ['A', 'B', 'C', 'P', 'E', 'I', 'G', 'H', 'F', 'U', 'K', 'T', 'R', 'N', 'O', 'D', 'Q', 'M', 'S', 'L', 'J', 'V', 'X', 'W', 'Y', 'Z']   6
031   AMU   ['T', 'B', 'C', 'D', 'I', 'F', 'Y', 'H', 'E', 'J', 'K', 'L', 'Q', 'N', 'O', 'S', 'M', 'Z', 'P', 'A', 'U', 'V', 'W', 'X', 'G', 'R']   6
031   LFB   ['Q', 'B', 'C', 'D', 'J', 'F', 'H', 'G', 'I', 'E', 'T', 'L', 'U', 'X', 'O', 'P', 'A', 'R', 'S', 'K', 'M', 'V', 'W', 'N', 'Y', 'Z']   6
031   MWH   ['R', 'B', 'C', 'D', 'E', 'X', 'G', 'V', 'I', 'J', 'K', 'L', 'U', 'N', 'O', 'P', 'Q', 'A', 'Z', 'Y', 'M', 'H', 'W', 'F', 'T', 'S']   6
031   VQZ   ['A', 'B', 'Y', 'D', 'W', 'G', 'F', 'H', 'Z', 'J', 'K', 'L', 'M', 'N', 'O', 'V', 'Q', 'R', 'S', 'T', 'X', 'P', 'E', 'U', 'C', 'I']   6
032   DPW   ['L', 'T', 'C', 'D', 'E', 'Z', 'R', 'K', 'I', 'J', 'H', 'A', 'M', 'N', 'O', 'P', 'Q', 'G', 'X', 'B', 'U', 'V', 'W', 'S', 'Y', 'F']   6
